City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
161,Cotonou,BJ,82.38,Clouds,6.3654,2.4183,Novotel Cotonou Orisha
163,Labrea,BR,76.68,Rain,-7.2586,-64.7981,Hotel Novo Horizonte
164,Buchanan,LR,80.55,Rain,5.8808,-10.0467,Kamaneahn Hotel Inc
165,Sao Miguel Do Araguaia,BR,77.22,Clouds,-13.275,-50.1628,Hotel Executivo Palace
166,Mount Pleasant,US,78.19,Clear,32.7941,-79.8626,Best Western Patriots Point
170,Guiratinga,BR,74.62,Clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
172,Takoradi,GH,80.26,Clouds,4.8845,-1.7554,Raybow International Hotel
173,Aracati,BR,80.64,Rain,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
174,Bubaque,GW,77.83,Clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
175,Grand-Lahou,CI,80.92,Clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
176,Alta Floresta,BR,76.32,Clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
177,Hamilton,US,75.83,Clear,39.1834,-84.5333,Six Acres Bed & Breakfast
179,Balsas,BR,78.06,Clear,-7.5325,-46.0356,Novo Hotel
182,Marrakesh,MA,71.67,Clear,31.6315,-8.0083,Les Jardins de La Koutoubia
183,Havelock,US,74.98,Clouds,34.8791,-76.9013,Sherwood Motel
185,Qeshm,IR,80.49,Clear,26.9581,56.2719,Qeshm Kavan Hotel
187,Arlit,NE,85.44,Clear,18.7369,7.3853,Case de Passage De la Prefecture
188,Itupiranga,BR,75.06,Clouds,-5.1347,-49.3267,Hotel Panorama
190,Taltal,CL,61.09,Clouds,-25.4,-70.4833,Residencial Karime
193,Kifri,IQ,71.64,Clear,34.6959,44.9661,میزان کفری
194,Bilma,NE,92.21,Clouds,18.6853,12.9164,Expeditions Ténére voyages
198,San Joaquin,US,81.32,Clear,37.9333,-121.3011,University Plaza Waterfront Hotel
199,Carnarvon,AU,60.87,Clear,-24.8667,113.6333,Hospitality Carnarvon
201,Coxim,BR,78.84,Clouds,-18.5067,-54.76,Hotel Avenida
202,Kuryk,KZ,65.28,Clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
205,Barra Da Estiva,BR,66.51,Clouds,-13.6261,-41.3269,Pousada Central
206,Shakawe,BW,69.93,Clouds,-18.3667,21.85,Ditlhapi Guest House
207,Mahates,CO,85.89,Clouds,10.2329,-75.1899,Hotel La Embajada
209,Mogadishu,SO,82.4,Rain,2.0371,45.3438,Hotel Juba
210,Marawi,PH,72.34,Clouds,7.9986,124.2928,Derogongan Residence
211,Jorochito,BO,80.92,Clouds,-18.05,-63.4333,Tom´s Hauss
212,Balkhash,KZ,64.33,Clouds,46.844,74.9804,Family
214,Mutis,CO,80.38,Clouds,6.2262,-77.4044,Paraiso Escondido
216,Charlottesville,US,71.13,Clouds,38.0293,-78.4767,Hilton Garden Inn Charlottesville
217,Barkhan,PK,82.15,Clouds,29.8977,69.5256,Sardar
218,Elat,IL,76.84,Clear,29.5581,34.9482,Club Hotel Eilat
219,Evansville,US,77.0,Clear,37.9748,-87.5558,Le Merigot Hotel
221,Pindiga,NG,84.79,Rain,9.9833,10.9333,Accommodation Center
222,Asfi,MA,62.46,Clear,32.2994,-9.2372,Hôtel Abda
224,Zhanaozen,KZ,64.92,Clear,43.3,52.8,K.korabay 28A
227,Ler,SS,83.32,Clouds,8.3018,30.1418,Leer Humanitarian Hub
235,Conde,BR,78.26,Clouds,-7.2597,-34.9075,Pousada Beija Flor
236,Asyut,EG,75.38,Clear,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
239,Westport,US,64.42,Clear,41.1415,-73.3579,The Inn at Longshore
240,Acarau,BR,79.52,Rain,-2.8856,-40.12,castelo pizzaria
241,Caraballeda,VE,89.67,Clouds,10.6112,-66.8522,Hotel 15 Letras
243,Lagoa,PT,61.3,Clear,39.05,-27.9833,Casa Das Faias
244,Mozarlandia,BR,77.02,Clear,-14.7447,-50.5706,Hotel Santa Mônica
245,Sinnamary,GF,77.68,Clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
246,Vila Velha,BR,82.35,Clouds,-20.3297,-40.2925,Hotel Vitória Palace
247,Jalu,LY,90.81,Clouds,29.0331,21.5482,صاحبة الفخامة
248,Antofagasta,CL,60.08,Clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
251,Odweyne,SO,72.81,Rain,9.4092,45.064,Eng Hiirey House
253,Mahibadhoo,MV,85.3,Clouds,3.7833,72.9667,Omadhoo Inn
257,Oka,CA,66.72,Clouds,45.4649,-74.0889,Parc national d'Oka
258,Rafaela,AR,60.98,Clouds,-31.2503,-61.4867,Parra Hotel & Suites
260,Porto Novo,BJ,82.22,Rain,6.4965,2.6036,Tour Eiffel Hotel Benin
261,Zhezkazgan,KZ,60.26,Clouds,47.8043,67.7144,Hotel Zumrat
262,Rudsar,IR,60.69,Clouds,37.1376,50.288,Hotel Bahar
265,Urumqi,CN,68.95,Clear,43.801,87.6005,Hua Ling Grand Hotel Urumqi
266,Kitgum,UG,65.23,Rain,3.2783,32.8867,Jaflo Gardens Hotel
267,Nador,MA,62.85,Clear,35.174,-2.9287,Hôtel La Giralda
269,Bhandara,IN,89.04,Clouds,21.1667,79.65,STARiHOTELS Bhandara
272,Kindu,CD,69.22,Clouds,-2.95,25.95,Résidence Okanda
273,La Palma,US,82.18,Clear,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
279,Gunjur,GM,71.67,Clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
280,Cabedelo,BR,79.47,Clouds,-6.9811,-34.8339,Hotel Pigalle
285,Conceicao Da Barra,BR,75.65,Clear,-18.5933,-39.7322,Cricaré Praia Hotel
287,Khorramshahr,IR,84.16,Dust,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
288,Vangaindrano,MG,69.82,Clouds,-23.35,47.6,Hotel Fanilo
289,Sayyan,YE,62.8,Clouds,15.1718,44.3244,ملاطف ابوحورية
290,Ibra,OM,74.93,Clear,22.6906,58.5334,مزرعة راحة النفوس المنزفة
291,Barra Do Bugres,BR,77.76,Clouds,-15.0725,-57.1811,Hotel 4AM Petrofurt
294,Ashtabula,US,66.51,Thunderstorm,41.7001,-80.7665,DFC Mobile Home Park & Sales
295,Tarrafal,CV,72.39,Clear,15.2833,-23.7667,Hotel Ixola
296,Mahebourg,MU,74.25,Clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
297,Garmsar,IR,66.33,Clouds,35.2182,52.3409,مجتمع مرصاد
298,Itaituba,BR,74.46,Clouds,-4.2761,-55.9836,Hotel Campos
299,Komsomolskiy,UZ,68.72,Clouds,40.4272,71.7189,Ikathouse
300,Santa Marta,CO,84.88,Clouds,11.2408,-74.199,Hotel La Ballena Azul
302,Pitimbu,BR,79.39,Clouds,-7.4706,-34.8086,Reserva do Abiaí
304,Cayenne,GF,80.1,Clouds,4.9333,-52.3333,Hôtel Le Dronmi
305,Zaysan,KZ,61.2,Clouds,47.4667,84.8667,Ерлан үй
306,Nsanje,MW,64.69,Clear,-16.92,35.262,Nsanje Discovery Lodge
307,Nisia Floresta,BR,80.98,Rain,-6.0911,-35.2086,Rancho Crepusculo
309,Sechura,PE,72.93,Clouds,-5.5569,-80.8222,Hospedaje Costa Bella
310,Funtua,NG,76.6,Clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
311,Belmonte,BR,76.03,Clear,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
312,Maceio,BR,78.24,Clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
314,Arboletes,CO,81.54,Clouds,8.8505,-76.4269,Hotel Playa Star
317,Charlotte,US,79.25,Clouds,35.2271,-80.8431,Charlotte Marriott City Center
